source_url,source_url_normalized,bias
http://deepstatenation.com,deepstatenation.com,left
https://democracyguardian.com,democracyguardian.com,left
http://www.curvemag.com,curvemag.com,left
https://www.greenleft.org.au,greenleft.org.au,left
https://www.foreignpolicyjournal.com,foreignpolicyjournal.com,left
https://iowastartingline.com,iowastartingline.com,left
https://extranewsfeed.com,extranewsfeed.com,left
http://foreignpolicynews.org,foreignpolicynews.org,left
http://www.ips-dc.org,ips-dc.org,left
https://www.progressiveliberal.net,progressiveliberal.net,left
http://libcom.org,libcom.org,left
http://www.readingthepictures.org,readingthepictures.org,left
http://readersupportednews.org,readersupportednews.org,left
http://www.peacock-panache.com,peacock-panache.com,left
https://rantt.com,rantt.com,left
https://splinternews.com,splinternews.com,left
http://progressivearmy.com,progressivearmy.com,left
http://republicanssucks.org,republicanssucks.org,left
https://www.thelondoneconomic.com,thelondoneconomic.com,left
http://washingtonpress.com,washingtonpress.com,left
http://www.alreporter.com,alreporter.com,center
https://www.courthousenews.com,courthousenews.com,center
http://www.allgov.com,allgov.com,center
http://www.americanheritage.com,americanheritage.com,center
https://www.consumerreports.org,consumerreports.org,center
https://www.fairobserver.com,fairobserver.com,center
https://niskanencenter.org,niskanencenter.org,center
http://www.nzherald.co.nz,nzherald.co.nz,center
https://stocknewsusa.com,stocknewsusa.com,center
https://www.thebalance.com,thebalance.com,center
https://www.defconwarningsystem.com,defconwarningsystem.com,center
http://spectrumreport.com,spectrumreport.com,center
https://www.wikitribune.com,wikitribune.com,center
http://www.mcall.com,mcall.com,center
http://www.scotsman.com,scotsman.com,center
https://www.thewrap.com,thewrap.com,center
http://verafiles.org,verafiles.org,center
https://americanmilitarynews.com,americanmilitarynews.com,right
http://citizensunited.org/index.aspx,citizensunited.org-index.aspx,right
https://americanconsequences.com,americanconsequences.com,right
http://www.aina.org,aina.org,right
http://brexitcentral.com,brexitcentral.com,right
https://amgreatness.com,amgreatness.com,right-center
https://conservativetoday.com,conservativetoday.com,right
https://acculturated.com,acculturated.com,right
http://www.beliefnet.com,beliefnet.com,right
https://www.alec.org,alec.org,right
http://biggovernment.news/index.html,biggovernment.news,right
http://www.dailymail.co.uk/ushome/index.html,dailymail.co.uk,right
https://www.ff.org,ff.org,right
http://www.faithwire.com,faithwire.com,right
http://ipatriot.com,ipatriot.com,right
https://www.libertynation.com,libertynation.com,right
https://renewedright.com,renewedright.com,right
https://sentinelksmo.org,sentinelksmo.org,right
https://ntknetwork.com,ntknetwork.com,right
http://newbostonpost.com,newbostonpost.com,right
http://politifeed.net,politifeed.net,right
https://quadrant.org.au,quadrant.org.au,right
https://ricochet.com,ricochet.com,right
https://www.unwatch.org,unwatch.org,right
http://carepublican.com,carepublican.com,right
https://thecitizenpress.com,thecitizenpress.com,right
https://bluntforcetruth.com,bluntforcetruth.com,extreme-right
http://www.conservapedia.com/Main_Page,conservapedia.com-Main_Page,extreme-right
http://conservativebyte.com,conservativebyte.com,extreme-right
http://bannedinformation.com,bannedinformation.com,extreme-right
http://researchantisemitism.ca,researchantisemitism.ca,extreme-right
https://hardnews.network,hardnews.network,extreme-right
http://www.hoggwatch.com,hoggwatch.com,extreme-right
http://www.magapill.com,magapill.com,right
http://www.frc.org,frc.org,extreme-right
http://ihypocrite.net,ihypocrite.net,extreme-right
http://joeforamerica.com,joeforamerica.com,extreme-right
https://infogalactic.com,infogalactic.com,extreme-right
http://www.ruthinstitute.org,ruthinstitute.org,extreme-right
https://www.oathkeepers.org,oathkeepers.org,extreme-right
http://www.renewamerica.com,renewamerica.com,extreme-right
https://politicalmayhem.news,politicalmayhem.news,extreme-right
https://studionewsnetwork.com,studionewsnetwork.com,right
https://southafricatoday.net,southafricatoday.net,right
http://oppositionreport.com,oppositionreport.com,extreme-left
http://www.thelibertyeagle.com,thelibertyeagle.com,extreme-right
http://themillenniumreport.com,themillenniumreport.com,extreme-right
http://rinf.com,rinf.com,extreme-right
https://remnantnewspaper.com,remnantnewspaper.com,extreme-right
https://triggerreset.net,triggerreset.net,extreme-right
https://insideclimatenews.org/,insideclimatenews.org,left-center
http://now8news.com/,now8news.com,center
http://constitution.com/,constitution.com,extreme-right
http://loser.com,loser.com,extreme-left
http://www.empiresports.co/,empiresports.co,center
http://www.emirates247.com/,emirates247.com,left-center
https://www.thebeaverton.com/,thebeaverton.com,center
http://nationalreport.net/,nationalreport.net,center
http://www.itv.com/news/,itv.com-news,right-center
http://www.forwardprogressives.com/,forwardprogressives.com,left
https://www.theatlantic.com/,theatlantic.com,left-center
http://liberaldarkness.com/,liberaldarkness.com,center
http://www.tampabay.com/,tampabay.com,left-center
http://france24-tv.com/,france24-tv.com,extreme-right
https://www.conservativeoutfitters.com/blogs/news,conservativeoutfitters.com-blogs-news,right
http://www.republicworld.com/,republicworld.com,left-center
http://www.timesheadline.com,timesheadline.com,left-center
http://www.amazingnews.net/,amazingnews.net,extreme-right
https://www.thestar.com/,thestar.com,left-center
https://aceflashman.wordpress.com/,aceflashman.wordpress.com,center
http://www.orlandosentinel.com/,orlandosentinel.com,right-center
https://newsandstoriesfromusa.com/,newsandstoriesfromusa.com,extreme-right
http://offendedamerica.com/,offendedamerica.com,right
http://www.calgarysun.com/,calgarysun.com,right-center
http://blackpigeonspeaks.com/,blackpigeonspeaks.com,extreme-right
https://www.newscientist.com/,newscientist.com,center
http://www.burrardstreetjournal.com/,burrardstreetjournal.com,center
http://www.who.int/en/,who.int-en,center
https://www.propublica.org/,propublica.org,left-center
http://news.groopspeak.com/,news.groopspeak.com,left
http://www.fairvote.org/,fairvote.org,left-center
http://oilprice.com/,oilprice.com,right-center
http://www.the-american-interest.com/,the-american-interest.com,right-center
https://gawken.com/,gawken.com,center
http://www.azcentral.com/,azcentral.com,right-center
http://www.leftsideofhistory.com/,leftsideofhistory.com,left
http://reagancoalition.com/,reagancoalition.com,extreme-right
http://monthlyreview.org/,monthlyreview.org,left-center
http://www.atlbanana.com/,atlbanana.com,center
http://www.bluestemprairie.com/,bluestemprairie.com,left-center
https://brokenworldnews.com/,brokenworldnews.com,center
https://lynx.media/,lynx.media,right-center
http://resistancereport.com/,resistancereport.com,extreme-left
http://democraticreview.com/,democraticreview.com,extreme-left
http://www.medicaldaily.com/,medicaldaily.com,center
http://americannewsx.com/,americannewsx.com,left
http://www.ibtimes.com/,ibtimes.com,left-center
http://www.chicksontheright.com/,chicksontheright.com,right
https://www.quantamagazine.org/,quantamagazine.org,center
https://www.buzzfeed.com/,buzzfeed.com,left-center
http://newsuptoday.com/,newsuptoday.com,extreme-right
https://sciencetrends.com,sciencetrends.com,center
https://viralcords.com/,viralcords.com,center
http://www.climatecentral.org/,climatecentral.org,center
http://siouxcityjournal.com/,siouxcityjournal.com,center
https://www.themaven.net/beingliberal,themaven.net-beingliberal,left
https://www.cpj.org/,cpj.org,center
http://www.epi.org/,epi.org,left-center
http://www.atlanticmedia.com/,atlanticmedia.com,left-center
http://bigamericannews.com/,bigamericannews.com,center
http://www.psypost.org/,psypost.org,center
http://www.politicalgarbagechute.com/,politicalgarbagechute.com,center
http://www.pnas.org/,pnas.org,center
https://www.truthexaminer.com/,truthexaminer.com,extreme-left
http://www.aljazeera.com/,aljazeera.com,left-center
https://milo.yiannopoulos.net/,milo.yiannopoulos.net,extreme-right
http://magicvalley.com/,magicvalley.com,center
http://www.skeptic.com/,skeptic.com,center
http://abriluno.com/,abriluno.com,center
http://www.detroitnews.com/,detroitnews.com,right-center
http://thechronicleherald.ca/,thechronicleherald.ca,right-center
http://stocksnewsdaily.com/,stocksnewsdaily.com,left-center
http://retractionwatch.com/,retractionwatch.com,center
https://uawire.org/,uawire.org,left-center
http://babylonbee.com/,babylonbee.com,center
http://www.polygraph.info/,polygraph.info,center
https://fas.org/,fas.org,center
http://www.al-monitor.com/pulse/home.html,al-monitor.com-pulse-home.html,left-center
http://secondnexus.com/,secondnexus.com,left-center
http://www.nwitimes.com,nwitimes.com,center
http://theproudliberal.org/,theproudliberal.org,extreme-left
http://freedumjunkshun.com/,freedumjunkshun.com,center
https://www.aol.com/,aol.com,left-center
http://www.beaware.one,beaware.one,extreme-right
http://liberalsociety.com/,liberalsociety.com,extreme-left
http://www.taxpayer.com/,taxpayer.com,right-center
http://santamariatimes.com,santamariatimes.com,center
http://www.jamestown.org/,jamestown.org,right-center
http://www.independent.co.uk/us,independent.co.uk,left-center
https://www.scientificamerican.com/,scientificamerican.com,center
https://www.texasmonthly.com,texasmonthly.com,left-center
http://www.hindustantimes.com/,hindustantimes.com,left-center
http://www.peninsuladailynews.com/,peninsuladailynews.com,right-center
http://bb4sp.com/,bb4sp.com,extreme-right
